GEOID,Asthma_prev,geometry
1400000US37057060700,10.9,POINT (-80.07235764 35.89862466)
1400000US37061090100,10.5,POINT (-77.90600054 35.11470122)
1400000US37045950102,10.4,POINT (-81.64729733 35.42311001)
1400000US37031971002,7.7,POINT (-76.82049999 34.69728465)
1400000US37061090600,10.7,POINT (-77.7769639 34.77879136)
1400000US37051003312,10.0,POINT (-79.05728681 35.06530643)
1400000US37025041901,11.0,POINT (-80.60547517 35.41137719)
1400000US37035011702,9.2,POINT (-81.26941615 35.5963358)
1400000US37021002504,9.3,POINT (-82.72568104 35.56762468)
1400000US37021003204,9.0,POINT (-82.37200342 35.52201792)
